标题,链接,作者关键字,索引关键字
"An Efficient Algorithm for Media-based Surveillance System (EAMSuS) in IoT Smart City Framework","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019623817&doi=10.1016%2fj.future.2017.04.039&partnerID=40&md5=a0cd7c759a5789f5156749317027ac05","Encryption Algorithm; HEVC; IoT; Smart City; Video Surveillance Systems; WSN","Cryptography; Internet of things; Monitoring; Network architecture; Security systems; Sensor nodes; Smart city; Wireless sensor networks; Encryption algorithms; HEVC; High-efficiency video coding; Information and Communication Technologies; Internet of Things (IOT); Security and privacy issues; Video surveillance systems; Wireless sensor network (WSNs); Network security"
"Privacy Protection for Preventing Data Over-Collection in Smart City","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963904018&doi=10.1109%2fTC.2015.2470247&partnerID=40&md5=fef364009d6c08abf344cdaa47240f74","Cyber Security and Privacy; Data Over-Collection; Smart City; Smartphone","Data privacy; Electronic equipment; Mobile security; Signal encoding; Smartphones; Thermoelectric equipment; Cyber security; Electronic device; Mobile clouds; Privacy leakages; Privacy protection; Sensitive datas; Smart cities; Smart System; Data acquisition"
"How do we understand smart cities? An evolutionary perspective","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018724007&doi=10.1016%2fj.cities.2017.04.010&partnerID=40&md5=bfbb410409db18414f19f5cce4d619c6","3RC framework; Human capital; Smart city; Technology","conceptual framework; human capital; smart city; social change; stakeholder; urban planning"
"Survey on Multi-Access Edge Computing for Internet of Things Realization","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048899876&doi=10.1109%2fCOMST.2018.2849509&partnerID=40&md5=74bd8fa8bfba62d944a1553af53a4c6c","5G; Edge computing; Internet of Things (IoT); Latency; Multi-access edge computing (MEC); Network architecture; Reliability; Virtualization","5G mobile communication systems; Big data; Edge computing; Gateways (computer networks); Geographical distribution; Network architecture; Quality of service; Reliability; Surveys; Virtualization; Wireless telecommunication systems; Fifth generation (5g); Integration technologies; Internet of thing (IOT); Internet of Things (IOT); latency; Multiaccess; Radio access networks; Wireless communication system; Internet of things"
"Edge of Things: The Big Picture on the Integration of Edge, IoT and the Cloud in a Distributed Computing Environment","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038359502&doi=10.1109%2fACCESS.2017.2780087&partnerID=40&md5=260fbee168b690b1c0098fa0fd8d9239","cloud computing; edge computing; fog computing; IoT; multi-cloud","Ad hoc networks; Cloud computing; Computer architecture; Computer resource management; Decision making; Internet of things; Mobile ad hoc networks; Mobile computing; Natural resources management; Resource allocation; Response time (computer systems); Sensor nodes; Servers; Smart city; Smartphones; Computation optimizations; Decision making process; Distributed computing environment; Edge computing; Future research directions; Internet of thing (IOT); Multi-clouds; Resource management; Distributed computer systems"
"Software-Defined Networks with Mobile Edge Computing and Caching for Smart Cities: A Big Data Deep Reinforcement Learning Approach","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038403738&doi=10.1109%2fMCOM.2017.1700246&partnerID=40&md5=28ec4a89be235a5c9bf4e930ea86a0ee",,"Big data; Edge computing; Reinforcement learning; Smart city; Software defined networking; Computing resource; Enabling technologies; Integrated frameworks; Mobile Edge Computing; Reinforcement learning approach; Deep learning"
"A decentralized privacy-preserving healthcare blockchain for IoT","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060177642&doi=10.3390%2fs19020326&partnerID=40&md5=1aad54bdc1f392ca249c7a34e2ac9bdc","Authentication; Blockchain; Data preservation; Ethereum; Internet of things; Key management; Medical big data; Ring signature; Smart cities; Smart contract","Authentication; Big data; Blockchain; Data privacy; Data transfer; Diagnosis; Medical problems; Network security; Patient treatment; Remote patient monitoring; Smart city; Wearable technology; Data preservations; Ethereum; Key management; Ring signatures; Smart contracts; Internet of things; computer security; electronic device; health care delivery; human; Internet; physiologic monitoring; procedures; Big Data; Computer Security; Delivery of Health Care; Humans; Internet; Monitoring, Physiologic; Wearable Electronic Devices"
"The First Two Decades of Smart-City Research: A Bibliometric Analysis","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015868563&doi=10.1080%2f10630732.2017.1285123&partnerID=40&md5=b061d7f3846885cd59e1b11261973acc","bibliometric analysis; corporate model; development paths; holistic interpretation; Smart-city research; urban innovation","information and communication technology; innovation; literature review; research; smart city; statistical analysis; Europe"
"A deep cnn-lstm model for particulate matter (Pm2.5) forecasting in smart cities","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050087079&doi=10.3390%2fs18072220&partnerID=40&md5=a50aae05880856071822338e19ae6b0a","Big data analytics; CNN-LSTM model; Deep learning; PM2.5 forecasting","Air pollution; Big data; Cardiovascular system; Correlation methods; Deep learning; Deep neural networks; Diseases; Forecasting; Mean square error; Particles (particulate matter); Smart city; Wind effects; Big Data Analytics; Cardio-vascular disease; Coal-fired power generation; Convolutional Neural Networks (CNN); Machine learning methods; Pearson correlation coefficients; Prevention and controls; Root mean square errors; Long short-term memory"
"Coexistence of high-bit-rate quantum key distribution and data on optical fiber","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872402766&doi=10.1103%2fPhysRevX.2.041010&partnerID=40&md5=599afa320a77e23b612cabaf0a7d9ae5",,"Cryptographic key; Data communication channels; Data signals; Data-communication; In-fiber; Information infrastructures; Protocol execution; Quantum mechanical; Quantum signals; Single fiber; Network security; Optical fibers; Quantum theory; Fibers"
"Smart cities: Concepts, architectures, research opportunities","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979873044&doi=10.1145%2f2858789&partnerID=40&md5=0069b33f8b12f5a6704c5b506ce37765",,"Carbon dioxide; Climate change; Energy efficiency; Energy utilization; Planning; Regional planning; Scalability; Sustainable development; Transportation; Energy productions; Environmental conditions; Exponential growth; Information communication technology; Innovative solutions; Operational efficiencies; Research opportunities; Resource management; Population statistics"
"Tourism analytics with massive user-generated content: A case study of Barcelona","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960213042&doi=10.1016%2fj.jdmm.2015.06.004&partnerID=40&md5=f5a0580ef3c5a698e469a674f1976a8b","Big data; Business intelligence; Catalonia; Smart city; Smart tourism destination; User-generated content",
"Internet of Things (IoT) communication protocols: Review","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040015911&doi=10.1109%2fICITECH.2017.8079928&partnerID=40&md5=fff54676d5873c6783286bc754b289c1","6LoWPAN; AES; ASK; BLE; BPSK; BT; CCK; COFDM; DBPSK; DSSS; ESP; FHSS; ICT; IoT; IPv6; MAC; NFC; O-QPSK; OFDM; RC4; TDMS and UNB; WPAN; WSNs","Amplitude shift keying; Binary phase shift keying; Communication channels (information theory); Internet protocols; Low power electronics; Near field communication; Network protocols; Orthogonal frequency division multiplexing; Personal communication systems; Smart city; Wide area networks; Wireless local area networks (WLAN); Wireless telecommunication systems; 6LoWPAN; BPSK; COFDM; DBPSK; DSSS; FHSS; IPv6; WPAN; WSNs; Internet of things"
"Vita: A crowdsensing-oriented mobile cyber-physical system","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961744092&doi=10.1109%2fTETC.2013.2273359&partnerID=40&md5=95b962375a08afc5f76e24b02b748d55","Cloud; Crowdsensing; Mobile cyber-physical system; Social network; System architecture","Cloud computing; Clouds; Computer architecture; Embedded systems; Information services; Mobile devices; Mobile telecommunication systems; Network architecture; Service oriented architecture (SOA); Social networking (online); Application developers; Cloud computing platforms; Communication overheads; Crowdsensing; Cyber physical systems (CPSs); Dynamic collaborations; Resource optimization; System architectures; Mobile cloud computing"
"Recent advancements in M2M communications in 4G networks and evolution towards 5G","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928486377&doi=10.1109%2fICIN.2015.7073806&partnerID=40&md5=907872afdc7f31fa276b6667f3f56ce7",,"4G mobile communication systems; Mobile telecommunication systems; Next generation networks; Standards; Advanced applications; Industrial automation; LTE-Advanced systems; Machine-to-machine communications; Performance analysis; Performance requirements; Physical resource blocks; Radio access networks; Wireless telecommunication systems"
"Who uses smart city services and what to make of it: Toward interdisciplinary smart cities research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048575548&doi=10.3390%2fsu10061998&partnerID=40&md5=3d152d51416d45acfeaa923e1239ef73","'normative bias' of smart cities research; Data protection; Innovation clusters; Innovation networks; International technology transfer; Privacy; Services; Smart cities; Smart villages; Sustainable development; Value adding services","accessibility; data management; innovation; interdisciplinary approach; research; safety; service quality; smart city; stakeholder; sustainable development; technology transfer; village"
"Performance evaluation of LoRa networks in a smart city scenario","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028308897&doi=10.1109%2fICC.2017.7996384&partnerID=40&md5=9f1fe213967bb701172b01d8a085a8a7",,
"Vehicular fog computing: Enabling real-time traffic management for smart cities","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057381510&doi=10.1109%2fMWC.2019.1700441&partnerID=40&md5=a6beec38fc78d9873c0e167b904e2353",,"Fog; Smart city; Taxicabs; Ubiquitous computing; Location awareness; Network response; Optimization problems; Performance analysis; Real time traffics; Research challenges; Traffic management; Vehicular networks; Fog computing"
"Smart cities in the new service economy: Building platforms for smart services","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904959339&doi=10.1007%2fs00146-013-0464-0&partnerID=40&md5=dcdc7af8b8e4d0250070044d9abf7fd1","e-Platform; Platform governance; Service economy; Service platform; Smart city; Smartness; Social inclusion; Sustainability","Sustainable development; e-Platform; Platform governance; Service economy; Service platforms; Smart cities; Smartness; Social inclusion; Electronic commerce"
"Bootstrapping smart cities through a self-sustainable model based on big data flows","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879086620&doi=10.1109%2fMCOM.2013.6525605&partnerID=40&md5=4c70f93b8b48cee3c3fa84c6bb16e4d5",,"Big datum; In-phase; Model-based OPC; Potential markets; Self-sustainable; Smart cities; Ecosystems; Electronic commerce; Information technology"
"Smart cities in perspective - a comparative European study by means of self-organizing maps","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860336192&doi=10.1080%2f13511610.2012.660330&partnerID=40&md5=7aeb053c6645518eda4b2f55920115f3","cities' performance; concentration; creative cities; geographic knowledge spillovers; location; proximity externalities; self-organizing maps; smart cities; urbanization","comparative study; competition (economics); database; economic analysis; innovation; performance assessment; principal component analysis; spillover effect; urban economy; urbanization; Europe"
"Can cities become smart without being sustainable? A systematic review of the literature","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057730180&doi=10.1016%2fj.scs.2018.11.033&partnerID=40&md5=a006e813c6e0f9911d45ed2187a57a63","Post-anthropocentric city; Progressive urbanism; Smart city; Sustainable city; Sustainable urban development; Urban informatics","Regional planning; Sustainable development; Urban growth; Post-anthropocentric city; Progressive urbanism; Sustainable cities; Sustainable urban development; Urban Informatics; Smart city"
"Towards cloud based big data analytics for smart future cities","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926427942&doi=10.1186%2fs13677-015-0026-8&partnerID=40&md5=48ad3b4c33b53f5ef7ea0315a713cb26","Big data; Cloud computing; Data mining and analytics; Smart city","Cloud computing; Data mining; Decision making; Economics; Electric sparks; Information management; Land use; Data analytics; Large amounts; Quality of life; Service analysis; Smart cities; Socio-economics; Transport data; Urban environments; Big data"
"Privacy Preserving Deep Computation Model on Cloud for Big Data Feature Learning","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963853667&doi=10.1109%2fTC.2015.2470255&partnerID=40&md5=f3a51433a13484ea57e47c1c403a1821","BGN encryption; BGV encryption; Big data; Cloud computing; Deep computation model; High-order back-propagation; Smart city","Backpropagation; Backpropagation algorithms; Cloud computing; Computation theory; Computational efficiency; Cryptography; Data privacy; Efficiency; Activation functions; Computation model; Decryption operations; Encryption operations; Polynomial functions; Proprietary information; Smart cities; Training efficiency; Big data"
"Designing a Smart City Internet of Things Platform with Microservice Architecture","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959050879&doi=10.1109%2fFiCloud.2015.55&partnerID=40&md5=89b7151d6b8d18910c4e77a88e81a7ea",,"Architecture; Big data; Distributed computer systems; Information services; Internet; Service oriented architecture (SOA); Architectural style; Cloud computing technologies; Generic services; In-buildings; Internet of thing (IOT); Large-scale distributed applications; Micro services; Web standards; Internet of things"
"Smart sustainable cities: Definition and challenges","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84927610783&doi=10.1007%2f978-3-319-09228-7_20&partnerID=40&md5=f6080980008e21d72098b75877257ec3","Definition of sustainability; ICT; Smart city; Sustainable city; Sustainable development","Computer programming; ICT; Smart cities; Sustainable cities; Sustainable development"
"Developing and validating a citizen-centric typology for smart city services","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905121654&doi=10.1016%2fj.giq.2014.01.010&partnerID=40&md5=4ff15ecad51a54236347fa18f3d7fcd6","Citizen-centricity; City services; Intelligent city; Service typology; Smart city; Ubiquitous city",
"UAVs for smart cities: Opportunities and challenges","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904579257&doi=10.1109%2fICUAS.2014.6842265&partnerID=40&md5=6ee52b8cd1650fd7a447a02c837c8c58","challenges; environmental hazards monitoring; opportunities; smart cities; UAVs","Electronic commerce; Hazards; challenges; Environmental hazards; opportunities; Smart cities; UAVs; Unmanned aerial vehicles (UAV)"
"Trace analysis and mining for smart cities: Issues, methods, and applications","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879082499&doi=10.1109%2fMCOM.2013.6525604&partnerID=40&md5=49d04f1bfaf008b782d97d27f5610362",,"Human mobility; Moving objects; Research issues; Smart cities; State-of-the-art methods; Trace data; Semantics; Trace analysis; Electronic commerce"
"Smart ideas for smart cities: Investigating crowdsourcing for generating and selecting ideas for ICT innovation in a city context","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872858440&doi=10.4067%2fS0718-18762012000300006&partnerID=40&md5=87caca472ac94ada92a28c9e6077561a","Crowdsourcing; Idea selection; Ideation; Living labs; Smart city",
"Smart cities built on resilient cloud computing and secure internet of things","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883362337&doi=10.1109%2fCSCS.2013.58&partnerID=40&md5=488fd75b7892febf2a6230524eca9740","cloud computing; open source; resilient cloud; secure internet of things; smart cities","Cloud computing infrastructures; Computing capacity; Internet of Things (IOT); Open sources; Real-time application; Smart cities; Smart devices; Virtual devices; Cloud computing; Computer science; Control systems; Electronic commerce; Internet; Open systems"
"A strategic view on smart city technology: The case of IBM Smarter Cities during a recession","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027936305&doi=10.1016%2fj.techfore.2013.08.041&partnerID=40&md5=fd5b0a8be7b2604b74d139600cd87309","Case study; City technology; IBM; Recession; Smart city; Strategy; Technology","Innovation; Technological forecasting; Technology; Conceptual frameworks; Empirical examination; IBM; ICT organisations; Recession; Smart cities; Strategy; Technological system; Electronic commerce; business cycle; corporate strategy; economic conditions; information and communication technology; technology adoption"
"Smart cities, big data","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859457261&doi=10.1068%2fb3902ed&partnerID=40&md5=20bc1421688b5337db13b18a06986f3e",,
"Major requirements for building Smart Homes in Smart Cities based on Internet of Things technologies","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026456254&doi=10.1016%2fj.future.2016.10.026&partnerID=40&md5=3f28f2f550002fad86fe1ff5f611701f","Ambient intelligence; Home Automation; Internet of Things; Smart Cities; Smart Home requirements","Ambient intelligence; Automation; Intelligent buildings; Personal computers; Smart city; Building blockes; Home automation; Internet of thing (IOT); Internet of things technologies; Recent researches; Smart homes; Internet of things"
"Internet of Things for Smart Cities: Interoperability and Open Data","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007470973&doi=10.1109%2fMIC.2016.124&partnerID=40&md5=22790993d96cb886ac5368930bd7ca1d","Big Data; cloud computing; Internet of Things; Internet/Web technologies; interoperability; IoT; open data; open systems; smart cities","Big data; Cloud computing; Distributed computer systems; Interoperability; Open systems; Cloud services; Data analytics; Internet of thing (IOT); New services; Open datum; Smart cities; Smart devices; Standard protocols; Internet of things"
"Smartbuddy: Defining human behaviors using big data analytics in social internet of things","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012191628&doi=10.1109%2fMWC.2016.7721744&partnerID=40&md5=e4e119d9f5e040e16e25dc3fe6521c90",,"Behavioral research; Complex networks; Ecology; Ecosystems; Internet of things; Smart city; Social sciences; Wearable technology; Body Area Network; Data analytics; Heterogeneous communication; Human behaviors; Human dynamics; Intelligent spaces; Real time; Wearable devices; Big data"
"Conceptualizing smartness in government: An integrative and multi-dimensional view","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962713896&doi=10.1016%2fj.giq.2016.03.002&partnerID=40&md5=81a5c5754e165a8c669256220f1fd8d3","Creativeness; Data; Effectiveness; Efficiency; Evidence-based decision making; Information technologies; Innovation; Openness; Smart city; Smart government; Sustainability",
"The management of organizational ambidexterity through alliances in a new context of analysis: Internet of Things (IoT) smart city projects","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014833138&doi=10.1016%2fj.techfore.2017.03.002&partnerID=40&md5=3d91377a0614e2f5baa27068845472a6","Alliances; Ambidexterity; ICT; Internet of Things; Knowledge management; Smart City","Knowledge management; Managers; Smart city; Technology transfer; Alliances; Ambidexterity; Exploration and exploitation; Information and Communication Technologies; Internet of thing (IOT); Internet of Things (IOT); Multinational enterprise; Structural equations modeling; Internet of things; information and communication technology; Internet; knowledge; multinational enterprise; organization; smart city; Italy"
"IoT based smart parking system","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988951908&doi=10.1109%2fIOTA.2016.7562735&partnerID=40&md5=d016e15e35f4412e79ce4313a9425348","Cloud Computing; Cloud of Things; Internet of Things; Smart City; Smart Parking","Cloud computing; Internet; Motor transportation; Parking; Traffic congestion; Car parking; Mobile applications; Parking spaces; Smart cities; Smart parking; Smart parking systems; System architectures; Urban infrastructure; Internet of things"
"Internet of Things: Applications and challenges in smart cities: a case study of IBM smart city projects","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961616433&doi=10.1108%2fBPMJ-05-2015-0074&partnerID=40&md5=3c7c90ad3e12294fe2d0e54fd1a36971","IBM; Internet of Things; Open innovation; Smart city",
"Meta-principles for developing smart, sustainable, and healthy cities","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84971221644&doi=10.1126%2fscience.aaf7160&partnerID=40&md5=f41a60278a954d65e2879b3e7b4ce5c4",,"decision making; infrastructural development; innovation; smart city; sustainability; sustainable development; urban development; urban planning; urban policy; attention; catering service; city; electric power plant; energy resource; environmental impact; health; human; priority journal; quality of life; Review; sanitation; solid waste management; traffic and transport; urban area; water supply; wellbeing; disaster; ecosystem; greenhouse effect; human activities; mortality; policy; procedures; statistics and numerical data; trends; urbanization; Cities; Disasters; Ecosystem; Greenhouse Effect; Human Activities; Humans; Mortality; Urban Health; Urban Renewal; Urbanization"
"Privacy-Preserving and Efficient Aggregation Based on Blockchain for Power Grid Communications in Smart Communities","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051125441&doi=10.1109%2fMCOM.2018.1700401&partnerID=40&md5=7adcac1ba66ab5719888ac0e7666f65a",,"Automation; Blockchain; Data privacy; Electric power systems; Electric power transmission networks; Electric power utilization; Intelligent buildings; Smart city; Telecommunication services; Electricity-consumption; Multiple pseudonyms; Near real-time datum; Privacy preserving; Private information; Security requirements; Smart home services; Smart infrastructures; Smart power grids"
"Data Fusion and IoT for Smart Ubiquitous Environments: A Survey","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028981019&doi=10.1109%2fACCESS.2017.2697839&partnerID=40&md5=8acfa2afde76f023e7715223bbbb9192","big data; computational and artificial intelligence; data fusion; high performance computing; Internet of Things; smart cities; smart societies; ubiquitous environments","Artificial intelligence; Big data; Computation theory; Data fusion; Decision making; Smart city; Surveys; Ubiquitous computing; Computational and artificial intelligences; High performance computing; Internet of thing (IOT); Management of ubiquitous environments; Probabilistic methods; smart societies; Technological development; Ubiquitous environments; Internet of things"
"Privacy concerns in smart cities","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991823655&doi=10.1016%2fj.giq.2016.06.004&partnerID=40&md5=e217f3d73c1cc8f7b7cc65230612dc6a","Big data; City government; Open data; Privacy concerns; Smart city",
"A literature survey on smart cities","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946492910&doi=10.1007%2fs11432-015-5397-4&partnerID=40&md5=0b43d52419e7655d9cbca406409ef87c","architecture; data vitalization; data-centric; smart city; urban data","Architecture; Information science; Data centric; data vitalization; Enabling technologies; Literature survey; Living environment; Rapid urbanizations; Smart cities; urban data; Surveys"
"Being smart: Emerging technologies and innovation in the public sector","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908304373&doi=10.1016%2fj.giq.2014.09.001&partnerID=40&md5=e14b4fe5b7ce16cc4677f2a562da117a","Emergent technologies; Governance infrastructure; Innovation; Smart cities; Smart governance; Smart government",
"Understanding ‘smart cities’: Intertwining development drivers with desired outcomes in a multidimensional framework","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046134442&doi=10.1016%2fj.cities.2018.04.003&partnerID=40&md5=9cb03cdae9e13b11aed6ddb29f9c1158","Smart city; Smart city policy; Smart city technology; Smart community; Sustainable urban development","conceptual framework; smart city; sustainable development; technological development; urbanization"
"RSSI-Based Indoor Localization with the Internet of Things","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047998528&doi=10.1109%2fACCESS.2018.2843325&partnerID=40&md5=17cf73f6dc5c97a886bfa7885bf55268","Bluetooth low energy; Indoor localization accuracy; Internet of Things; LoRaWAN; power consumption; RSSI; WiFi; Zigbee","Bluetooth; Electric power utilization; Global positioning system; IEEE Standards; Interactive computer systems; Internet of things; Low power electronics; Marketing; Real time systems; Wi-Fi; Wide area networks; Wireless local area networks (WLAN); Wireless telecommunication systems; Zigbee; Bluetooth low energies (BLE); Bluetooth low energies (BTLE); Indoor localization; Indoor localization systems; Internet of thing (IOT); LoRaWAN; Received signal strength indicator (RSSI); RSSI; Indoor positioning systems"
"Smart utopia VS smart reality: Learning by experience from 10 smart city cases","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85008668628&doi=10.1016%2fj.cities.2016.10.005&partnerID=40&md5=cba38c1d5c4d24408e2e47b16cad776d","Digital city; Resilience; Smart city; Smart utopia; Sustainable city","learning; local government; smart city; standardization; sustainable development; urban area"
"Building a Big Data Platform for Smart Cities: Experience and Lessons from Santander","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959495037&doi=10.1109%2fBigDataCongress.2015.91&partnerID=40&md5=af99e537e5b643b0bc0f07ccc42dc9a0","Big Data; Internet of Things; platform; Smart Cities","Data mining; Internet; Internet of things; Context- awareness; Design issues; Human activities; Internet of thing (IOT); platform; Practical systems; Smart cities; System architectures; Big data"
"Semisupervised Deep Reinforcement Learning in Support of IoT and Smart City Services","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045442794&doi=10.1109%2fJIOT.2017.2712560&partnerID=40&md5=c0a22562e9aef03bc38b5d63420c835b","Bluetooth low energy indoor localization; deep learning; deep reinforcement learning (DRL); indoor positioning; Internet of Things (IoT); IoT smart services; reinforcement learning; semisupervised deep reinforcement learning; smart city","Bluetooth; Indoor positioning systems; Internet of things; Reinforcement learning; Smart city; deep reinforcement learning (DRL); Indoor localization; Indoor positioning; Internet of Things (IOT); Semi-supervised; Smart services; Deep learning"
"Energy-Efficient Multi-Constraint Routing Algorithm with Load Balancing for Smart City Applications","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010041692&doi=10.1109%2fJIOT.2016.2613111&partnerID=40&md5=e9e931cdde6421d74fd02b1b9c8eec23","Energy consumption function; energy efficiency; multi-constraint optimization network criticality; rerouting","Constrained optimization; Criticality (nuclear fission); Energy utilization; Low power electronics; Optimization; Quality of service; Routing algorithms; Customer services; Energy consumption model; Global consumption; Multi-constraint routing; Net work utilization; Network criticality; rerouting; Rerouting strategies; Energy efficiency"
"Design of Secure User Authenticated Key Management Protocol for Generic IoT Networks","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038402404&doi=10.1109%2fJIOT.2017.2780232&partnerID=40&md5=dae733a9cef7d7230fb728326ffaa2dd","Authentication; automated validation of Internet security protocols and applications (AVISPAs) simulation; generic Internet of Things (IoT) network; hierarchical IoT network (HIoTN); key management; security","Authentication; Automation; Biometrics; Gateways (computer networks); Industrial research; Intelligent buildings; Internet of things; Internet protocols; Network protocols; Sensor nodes; Sensors; Smart cards; Smart city; Supply chains; Wireless sensor networks; AVISPA simulation; Internet of Things (IOT); IOT networks; Key management; Key management protocols; Networking environment; Remote user authentication schemes; security; Network security"
"Towards a smart city based on cloud of things, a survey on the smart city vision and paradigms","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009200662&doi=10.1002%2fett.2931&partnerID=40&md5=c085a2d1d231704ca863d73e164a5cff",,"Copyrights; Ecology; Ecosystems; Middleware; Semantics; Surveys; Global commons; Heterogeneous resources; Internet of Things (IOT); Middleware platforms; Semantic annotations; Smart cities; Internet of things"
"Smart city for VANETs using warning messages, traffic statistics and intelligent traffic lights","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865010554&doi=10.1109%2fIVS.2012.6232229&partnerID=40&md5=72f31f4d3b1156fc70c4d7be175a05f5","Intelligent Transportation System (ITS); Smart Cities; Traffic Information Centre (TIC); Vehicular Ad Hoc Networks (VANETs)","Car manufacturers; Intelligent traffic management; Intelligent transportation systems; Living lab; Road safety; Smart Cities; Traffic conditions; Traffic densities; Traffic information; Traffic light; Traffic statistics; Vehicular networks; Vehicular technologies; Warning messages; Weather conditions; Wireless technologies; Accident prevention; Communication systems; Electronic commerce; Intelligent systems; Intelligent vehicle highway systems; Motor transportation; Street traffic control; Telecommunication networks; Traffic surveys; Vehicles; Vehicular ad hoc networks; Wireless telecommunication systems; Vehicle to vehicle communications"
"CityPulse: Large Scale Data Analytics Framework for Smart Cities","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978630397&doi=10.1109%2fACCESS.2016.2541999&partnerID=40&md5=559289d05ca4052c859e0f6871c85bcd",,"Data handling; Data integration; Decision support systems; Digital devices; Environmental management; Filtration; Semantic Web; Semantics; Computing technology; Contextual filtering; Control and management; Data processing techniques; Distributed systems; Environmental Monitoring; Quality of information; Semantic discoveries; Information management"
"What makes a city smart? Identifying core components and proposing an integrative and comprehensive conceptualization","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942771967&doi=10.3233%2fIP-150354&partnerID=40&md5=93147ccfc4f83c69ea6d40fc8cc9259a","bridging theory and practice; city innovation; digital city; digital government; e-government; Smart city; smart government; urban innovation",
"‘Don’t call me resilient again!’: the New Urban Agenda as immunology … or … what happens when communities refuse to be vaccinated with ‘smart cities’ and indicators","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019022850&doi=10.1177%2f0956247816684763&partnerID=40&md5=f99b952afbca8837097fde3986f08c9f","conflict; dissensus; Habitat III; inclusiveness; indicators; New Urban Agenda; political ecology; resilience; safety; smart cities; social innovation; sustainability; Sustainable Development Goal 11","immune system; innovation; modernization; smart city; sustainability; sustainable development; vaccination"
"An Integrated IoT Architecture for Smart Metering","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012996281&doi=10.1109%2fMCOM.2016.1600647CM&partnerID=40&md5=b804094ada1aef9c440cb094aab3cd9b",,"Big data; Electric power measurement; Network architecture; Smart city; Smart meters; Data gathering; Data treatment; Decision systems; Internet of things architectures; Iot architectures; Metering devices; Real measurements; Smart metering; Internet of things"
"Smart City and IoT","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026490308&doi=10.1016%2fj.future.2017.03.034&partnerID=40&md5=eaa1051674fcbb054e001952b9ea546a","IoT; Sensors networks; Smart city; Smart home; Ubiquitous computing; Urban development",
